instrument_id,price,is_buy,timestamp,signal1,signal2,signal3,signal4
1,153.063,1,24935937932500,0,0,1,0
4,167.64,1,24935938319100,0,0,1,0
7,101.269,1,24935938382000,1,0,0,0
0,176.034,1,24935938398600,0,0,1,0
4,193.436,1,24935938405400,0,0,1,0
6,103.822,1,24935938409200,1,0,0,0
0,173.57,0,24935938529400,0,1,0,0
1,150.455,0,24935938535000,0,1,0,0
2,137.739,1,24935938537200,0,0,1,0
3,168.92,1,24935938539100,0,1,1,0
4,191.842,0,24935938543000,0,1,0,0
5,172.061,1,24935938544600,0,1,1,0
7,181.621,1,24935938547500,0,1,1,0
8,124.753,1,24935938549800,0,1,1,0
9,154.07,0,24935938553200,0,1,0,0
0,114.827,1,24935938582000,0,1,0,0
1,105.228,1,24935938585600,0,1,0,0
2,188.564,1,24935938587700,0,1,1,0
3,152.37,0,24935938589900,0,1,0,0
4,180.656,0,24935938591400,0,1,0,0
5,114.41,1,24935938595300,0,1,0,0
6,154.552,1,24935938596600,0,1,1,0
7,173.839,0,24935938597700,0,1,0,0
8,138.977,1,24935938598700,0,1,1,0
9,125.287,1,24935938599800,0,1,0,0
0,121.737,1,24935938601700,0,1,0,0
1,147.944,0,24935938608900,0,1,0,0
2,112.113,1,24935938611600,0,1,0,0
3,124.977,1,24935938613600,0,1,0,0
4,168.634,0,24935938617800,0,1,0,0
5,185.541,0,24935938619500,0,1,0,0
6,147.699,0,24935938622000,0,1,0,0
7,151.939,0,24935938624000,0,1,0,0
8,173.845,1,24935938625900,0,1,1,0
9,188.017,0,24935938627500,0,1,0,0
0,147.38,1,24935938628800,0,1,1,0
1,156.624,1,24935938629900,0,1,1,0
2,163.121,0,24935938630900,0,1,0,0
3,157.279,0,24935938632000,0,1,0,0
4,139.089,1,24935938633200,0,1,0,0
5,136.854,1,24935938634200,0,1,0,0
6,133.485,1,24935938635300,0,1,0,0
7,196.369,1,24935938636400,1,1,0,0
8,134.71,0,24935938639900,0,1,0,0
9,184.695,0,24935938640900,0,1,0,0
0,164.6,1,24935938642000,0,1,1,0
1,176.616,1,24935938643300,0,1,1,0
2,125.599,1,24935938644500,0,1,0,0
4,104.478,1,24935938646200,1,1,0,0
5,146.371,1,24935938647200,0,1,0,0
6,119.052,1,24935938648300,0,1,0,0
7,198.888,1,24935938649400,1,1,1,0
8,118.44,1,24935938653100,0,1,0,0
9,121.759,1,24935938654600,0,1,0,0
0,185.646,1,24935938732000,0,1,1,0
1,199.561,1,24935938747300,1,1,1,1
2,132.738,1,24935938749900,0,1,0,0
4,194.359,0,24935938754100,0,1,0,0
5,132.321,1,24935938756700,0,1,0,0
6,113.159,1,24935938758700,0,1,0,0
7,133.015,1,24935938760600,0,1,0,0
8,100.381,1,24935938763100,1,1,0,0
9,135.724,1,24935938765800,0,1,0,0
0,127.67,1,24935938820300,0,1,0,0
1,111.143,1,24935938849400,0,1,0,0
2,106.851,1,24935938852200,0,1,0,0
3,170.271,0,24935938854400,0,1,0,0
4,187.97,0,24935938856100,0,1,0,0
5,163.917,0,24935938857800,0,1,0,0
6,119.565,1,24935938859500,0,1,0,0
7,116.626,1,24935938861500,0,1,0,0
8,115.113,1,24935938863300,0,1,0,0
9,127.802,1,24935938864900,0,1,0,0
0,166.272,0,24935938866700,0,1,0,0
1,109.741,1,24935938868400,0,1,0,0
2,136.785,0,24935938870000,0,1,0,0
3,156.832,0,24935938871700,0,1,0,0
4,198.292,1,24935938873300,1,1,0,0
5,170.506,1,24935938875000,0,1,1,0
6,174.732,1,24935938876700,0,1,1,0
7,161.52,0,24935938878400,0,1,0,0
8,134.173,1,24935938880000,0,1,1,0
9,188.412,0,24935938881500,0,1,0,0
0,177.438,1,24935938883300,0,1,1,0
1,123.066,1,24935938885900,0,1,0,0
2,162.124,1,24935938887800,0,1,1,0
3,194.568,0,24935938889900,0,1,0,1
5,105.165,1,24935938893300,0,1,0,0
6,112.895,1,24935938895400,0,1,0,0
7,155.252,1,24935938897300,0,1,0,0
8,137.717,1,24935938898900,0,1,1,0
9,173.311,0,24935938900500,0,1,0,0
0,168.924,0,24935938902100,0,1,0,0
1,157.336,1,24935938903700,0,1,1,0
2,162.146,1,24935938905500,0,1,1,0
3,143.11,1,24935938935500,0,1,0,0
4,137.191,1,24935938937500,0,1,0,0
5,197.793,1,24935938939100,1,1,0,0
6,113.168,1,24935938940700,0,1,0,0
8,135.6,0,24935938943600,0,1,0,0
9,195.114,1,24935938945200,1,1,0,0
0,180.033,0,24935938947000,0,1,0,0
1,138.102,1,24935938950500,0,1,0,0
2,146.936,0,24935938952400,0,1,0,0
3,137.042,1,24935938953900,0,1,0,0
4,108.464,1,24935938955600,0,1,0,0
5,101.059,1,24935938957200,1,1,0,0
6,132.069,1,24935938958600,0,0,1,0
7,115.19,1,24935938960200,0,1,0,0
8,155.164,0,24935938961700,0,1,0,0
0,163.574,0,24935938964400,0,1,0,0
1,106.168,1,24935938967400,0,1,0,0
2,196.634,1,24935938969400,1,1,0,1
3,191.51,0,24935938971400,0,1,0,0
5,162.99,0,24935938974100,0,1,0,0
6,146.972,1,24935938975900,0,1,1,0
7,167.557,0,24935938977500,0,1,0,0
8,199.335,1,24935938979200,1,1,1,1
9,116.337,1,24935938980700,0,1,0,0
0,173.023,0,24935938982200,0,1,0,0
1,195.451,1,24935938983800,1,1,0,0
2,119.814,1,24935938985300,0,1,0,0
3,164.369,0,24935938986900,0,1,0,0
5,195.584,1,24935938989500,1,1,1,0
7,120.756,1,24935938992300,0,1,0,0
8,190.782,0,24935938993900,0,1,0,0
